Criteria,Quet.Nr,Question,Elaboration on Question,Possible Answers,Type of visit,Skips & Triggers,Changes made,نوع الزيارة,الإجابات الممكنة,السؤال,رقم السؤال,معيار
Waiting Area,Q22,Was there a designated seating area to sit while waiting?,"- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.The seatings are full (0)
3.There was no designated waiting area (0)",Enquiry/ Transaction,,The question and options were rephrased,استفسار / تقديم معاملة,"1. نعم (1)
2.كانت المقاعد ممتلئة (0) 
3. لم يكن هناك منطقة مخصصة للانتظار (0)",هل كانت هناك منطقة مخصصة للجلوس أثناء الانتظار؟,Q22,قاعة الانتظار
Waiting Area,Q23,Was there a separate waiting/ seating area for ladies/ gents?,"- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry,show if Q22 is 1 or 2,,استفسار,"1. نعم (1)
2.لا (0) ",هل كان هناك منطقة انتظار منفصلة للرجال والسيدات؟,Q23,قاعة الانتظار
Waiting Area,Q25,Was there a queuing system in working condition? i.e. Token numbers or equivalent.,"- Token machine, screen, voice announcement, SMS, etc.
- Please provide evidence
- If no, detail what happened in the comment box","1.Yes - there was a working queue machine(1)
2.No - there was a non-working queue machine(0)
3. No - there was no queue machine availble(0)",Enquiry/ Transaction,,,استفسار / تقديم معاملة,"1. نعم - يوجد نظام للانتظار يعمل (1)
2.لا - يوجد نظام للانتظار لكن لا يعمل (0) 
3لا - لم يتوفر نظام للانتظار (0)",هل توفر نظام للاتظار وكان يعمل؟ رقم التوكن أو ما يعادلها.,Q25,قاعة الانتظار
Waiting Area,Q25.1,"If it was not working, was there any sign to warn that it is not working?","- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/Transaction,show if Q25 is 2,,استفسار/تقديم معاملة,"1. نعم (1)
2.لا (0) ",إذا كان نظام الانتظار لا يعمل، هل تم وضع أي ملصق أو  لافتة توضح أن النظام معطل؟,Q25.1,قاعة الانتظار
Waiting Area,Q25.2,"If the queuing system was not available or not working, was there an alternative system in place to serve the customers that arrive first before those that arrive later? ",,"1.Yes (1)
2.No (0)",Enquiry/Transaction,show if Q25 is 3,,استفسار/تقديم معاملة,"1. نعم (1)
2.لا (0) ",في حال لم يتوفر نظام الانتظار أو كان لا يعمل،  هل كان هناك نظام بديل موجود لخدمة العملاء الذين يصلون أولاً قبل الذين يصلون في وقت لاحق؟,Q25.2,قاعة الانتظار
Waiting Area,Q26.0,Did you find the service you were looking for on the queue system?,"If no, detail what happened in the comment box","1.Yes (1)
2.No (0)
3. I did not use the machine (non-scoring)
",Enquiry/ Transaction,,The question and options were amended,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0)  
3. لم أستخدم نظام الانتظار ",هل وجدت الخدمة التي كنت تبحث عنها في نظام تنظيم الدور؟,Q26.0,قاعة الانتظار
Waiting Area,Q26,Were people skipping others in the queue and taking their place?,"If yes, detail what happened in the comment box","1.Yes (0)
2.No (1)",Enquiry/ Transaction,,,استفسار / تقديم معاملة,"1. نعم (0)
2.لا (1) ",هل كان هنالك من يتخطى الآخرين في قائمة الانتظار ويحل مكانهم؟,Q26,قاعة الانتظار
Waiting Area,Q27,Were there computers/ ipads or any similar devices to serve customers available in the waiting area and in working condition?,"- If the computers were available AND in working condition
- Please provide evidence
- If not working or not available, explain in the comment box","1.Available and wroking (1)
2.Available but not working (0)
3.Not available (0)",Enquiry,,The options were amended,استفسار,"1. موجودة وتعمل (1)
2. موجودة، لكن لا تعمل (0)
3. غير موجودة (0) ",هل كانت أجهزة كمبيوتر أو أجهزة لوحية أو ما يعادلها متوفرة في منطقة الانتظار لخدمة المتعاملين وتعمل في حالة جيدة؟,Q27,قاعة الانتظار
People of Determination,Q27.1,Is there a designated parking area for People of Determination near the entrance?,"- Check if there is at least 1-2 designated POD parking per entrance
- If the POD parking was full, check the availability of other empty slots or solutions, as alternatives
- Please detail what happened and provide evidence","1.Yes (1)
2.No (0)
3.There was a valet (1)",Enquiry/ Transaction,,Question rephrased & instruction added,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) 
3. يوجد خدمة صف السيارات (1)","هل هناك مواقف كافية مخصصة لأصحاب الهمم؟ ",Q27.1,ذوي الهمم
People of Determination,Q27.2," Was the accessibility from the allocated parking for people of determination to the entrance obstacle-free?","- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,,,استفسار / تقديم معاملة,"1. نعم 
2.لا (0) ","هل كان  الوصول من المواقف المخصصة لأصحاب الهمم إلى مدخل  المركز خاليا من اي عائق؟ ",Q27.2,ذوي الهمم
People of Determination,Q27.3,"Is there at least one entrance suitable to people of determination? ","- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,,separated into 2 questions,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ","هل هنالك مدخل واحد على الأقل مهيأ لأصحاب الهمم؟ ",Q27.3,ذوي الهمم
People of Determination,Q27.3.1,Is at least one of the POD entrances a main entrance?,"- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,show if Q27.3 is yes,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ",هل كان واحد على الأقل من هذه المداخل من المداخل الرئيسية؟,Q27.3.1,ذوي الهمم
People of Determination,Q27.3.2,Is the entrance wide enough to accommodate wheelchairs or mobility devices?,"- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,,new question,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ",هل كان المدخل واسعًا بما يكفي لمرور الكراسي المتحركة أو أجهزة المساعدة على الحركة؟,Q27.3.2,ذوي الهمم
People of Determination,Q27.3.3,Were automatic door openers available and functioning correctly?,"- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,,new question,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ",هل كانت هناك أبواب أوتوماتيكية تعمل بشكل صحيح؟,Q27.3.3,ذوي الهمم
People of Determination,Q27.3.4,Were tactile floor indicators available to guide People of Determination to the service counter?,"- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,,new question,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ",هل توفرت مؤشرات ملموسة على الأرض لإرشاد أصحاب الهمم إلى مكتب الخدمة؟,Q27.3.4,ذوي الهمم
People of Determination,Q27.4,"In case there was an operating queue machine, were digital queue displays accompanied by audio announcements for visually impaired visitors?","- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,show if Q25 is 1,question was rephrased,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0)",في حال توفر نظام للانتظار (التوكن)، هل كانت شاشات عرض الأرقام الرقمية مصحوبة بإعلانات صوتية لمساعدة الزوار من ذوي الإصابات البصرية؟,Q27.4,ذوي الهمم
People of Determination,Q27.5,Were counter heights adjustable or low enough (≤hight ) for wheelchair users or any specific initiatives implemented to assist POD if the counters heights were not adjustable?,"- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,,question was rephrased,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0)",هل كانت ارتفاعات مكاتب الخدمة قابلة للتعديل أو منخفضة بما يكفي (≤ الارتفاع المطلوب) لتناسب مستخدمي الكراسي المتحركة؟ وإذا لم تكن كذلك، فهل تم تنفيذ أي مبادرات خاصة لدعم أصحاب الهمم؟,Q27.5,ذوي الهمم
People of Determination,Q27.6,"Were ramps, elevators, or other access tools available and in working condition?","- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)
3.Not Applicable (non-scoring)",Enquiry/ Transaction,,new question,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0)",هل توفرت منحدرات أو مصاعد أو أدوات وصول أخرى، وهل كانت بحالة تشغيل جيدة؟,Q27.6,ذوي الهمم
People of Determination,Q27.7,"Were elevators available with Braille buttons, audio announcements, and low-height controls?","- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)
3.The center is located on the ground floor with no additional floors (non-scoring)",Enquiry/ Transaction,,new question,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0)
3. المركز يقع في الطابق الأرضي ولا توجد طوابق إضافية ",هل توفرت مصاعد تحتوي على أزرار بلغة برايل، وإعلانات صوتية، ولوحات تحكم على ارتفاع مناسب؟,Q27.7,ذوي الهمم
People of Determination,Q27.8,"Were dedicated toilets equipped with grab bars, emergency alarms, and wheelchair-accessible stalls?","- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,show if Q21 is yes,new question,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0)",هل كانت دورات المياه المخصصة لذوي الهمم مجهزة بمقابض دعم، وإنذارات طوارئ، وحمامات يمكن للكراسي المتحركة دخولها؟,Q27.8,ذوي الهمم
People of Determination,Q27.9,"Were alternative formats  for service information available for menus, brochures, or other information (e.g., braille, large print)?","- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,show if Q30 is yes,new question,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0)",هل كانت هناك صيغ بديلة لمعلومات الخدمة (مثل القوائم والكتيبات) متاحة بلغة برايل أو بحجم خط كبير؟,Q27.9,ذوي الهمم
People of Determination,Q27.10,Did staff offer immediate assistance upon noticing a visitor with special needs?,"- Shopper should notice such instance, if any
- Please detail what happened","1.Yes (1)
2.No (0)
3.Not Applicable (non-scoring)",Enquiry/ Transaction,,new question,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0)
3.لا ينطبق ",هل بادر الموظفون بتقديم المساعدة فور ملاحظتهم لزائر من أصحاب الهمم؟,Q27.10,ذوي الهمم
People of Determination,Q27.11,"Were staff trained to communicate with POD (e.g., basic sign language, clear verbal instructions)?","- Shopper should notice such instance, if any
- Please detail what happened","1.Yes (1)
2.No (0)
3.Not Applicable (non-scoring)",Enquiry/ Transaction,,new question,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0)
3.لا ينطبق ",هل كان الموظفون مدربون على التواصل مع ذوي الهمم (مثل استخدام لغة الإشارة الأساسية أو إعطاء تعليمات لفظية واضحة)؟,Q27.11,ذوي الهمم
Service Accessibility,Q28,Was the security or any other employee available to guide the customers at the token machine or to direct to the proper department/ service desk?,Please detail what happened,"1.Yes (1)
2.No (0)",Enquiry/ Transaction,,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ","هل تواجد موظف الأمن أو موظف آخر لمساعدة المتعاملين على استخدام نظام الانتظار أو توجيههم إلى القسم المعني؟ ",Q28,سهولة الوصول للخدمة
Service Accessibility,Q29,Was the reception/ information desk immediately visible on entering the building?,"- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry,show if Q34 is 1 or 2 or 3,,استفسار,"1. نعم (1)
2.لا (0) ",هل كان مكتب الاستقبال/ الاستعلامات ظاهر / مرئي مباشـرة عند الدخول إلى المبـنى؟,Q29,سهولة الوصول للخدمة
Service Accessibility,Q30," Was the information about the services available in both languages Arabic and English and easy to access by the customer through Smart screens, flyers, or brochures, QR-CODE...?","- If the information about the service was available AND easy to access
- If no, please specify whether the information was not available or was not easy to access
- Please provide evidence","1.Yes (1)
2.Only one language (0)
3.No (0)",Enquiry/ Transaction,,,استفسار / تقديم معاملة,"1. نعم (1)
2.لغة واحدة (0)
3.لا (0) ",هل كانت المعلومات حول الخدمات متوفرة في مركز الخدمة  بأكثر من لغة وسهل الوصول إليها من قبل المتعامل من خلال لوحات العرض الذكية  أو QR-CODE أو غيره؟,Q30,سهولة الوصول للخدمة
Service Accessibility,Q32,Was the customer charter displayed clearly?,"- Please provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry,,question in English version was rephrased,استفسار,"1. نعم (1)
2.لا (0) ",هل كان ميثاق خدمة المتعاملين معروض بشكل مرئي وبوضوح للمتعاملين؟,Q32,سهولة الوصول للخدمة
Receptionist Soft Skills,Q34,Was the reception/ information desk staff available at the reception desk?,,"1.Yes (1)
2.No staff was available (0)
3. NA - The staff was available but I did not interact with any (non-scoring)
4. NA - There was no reception desk (non-scoring)",Enquiry/ Transaction,,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا- لم يتواجد موظف (0) 
3.لاينطبق - تواجد موظف ولكنني لم أتعامل معه 
4. لا ينطبق - لا يوجد مكتب استقبال في المركز  ",هل تواجد موظف الاستقبال في مكتب الاستقبال/ الاستعلامات؟,Q34,المهارات الشخصية لموظف الاستقبال
Receptionist Soft Skills,Q37,Was the receptionist presentable with good appearance?,"Attention !!The employee has to be well groomed with a professional looking

Check dress code: For UAE Nationals Males and Females: Official UAE national dress // For Expatriates Males: Officials suites with tie in dark colors // For Expatriates Females: Official suits with long sleeves jackets and loose fitting trousers or skirts that extend below the knee
For Dubai Police military uniforms","1.Yes (1)
2.No (0)",Enquiry/ Transaction,show if Q34 is 1,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ",هل كان مظهر موظف الاستقبال جيد؟,Q37,المهارات الشخصية لموظف الاستقبال
Receptionist Soft Skills,Q38,Were you able to identify the receptionist’s name in any way?,"The ID badge, a plate with the employee’s name on the desk, and asked him for his name..If no, please mention if the badge ID was not available or the name was not clear","1.Yes (1)
2.No (0)",Enquiry/ Transaction,show if Q34 is 1,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) "," هل استطعت التعرف على اسم الموظف باي طريقة كانت؟ (حمل الموظف لبطاقة فيها اسمه، لوحة باسم الموظف على المكتب، سألته عن اسمه) ",Q38,المهارات الشخصية لموظف الاستقبال
Receptionist Soft Skills,Q39,Was the receptionist polite and courteous?,"If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,show if Q34 is 1,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ","هل كان موظف الاستقبال مؤدب ولبق؟  
",Q39,المهارات الشخصية لموظف الاستقبال
Receptionist Soft Skills,Q40,Was the receptionist able to communicate in the language you spoke (English or Arabic)?,"If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,show if Q34 is 1,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ",هل كان موظف الاستقبال قادرًا على التواصل باللغة التي تتحدثها (الإنجليزية أو العربية)؟,Q40,المهارات الشخصية لموظف الاستقبال
Receptionist Soft Skills,Q42,"Was the receptionist fully attentive when dealing with you? i.e. they did not chat with others, used the phone, or did things that are not related to your query","If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,show if Q34 is 1,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ",هل كان موظف الاستقبال مهتم عند التعامل معك؟ أي لم يتحدث مع الآخرين، استخدم الهاتف، أو قام بأشياء بأمور ليس لها علاقة باستفسارك,Q42,المهارات الشخصية لموظف الاستقبال
Receptionist Soft Skills,Q42.1,"In case of not being fully attentive, did the employee apologize and excuse himself/herself?","If no, detail what happened in the comment box","1.Yes (1)
2.No (0)                        ",Enquiry/ Transaction,show if Q42 is no,new question,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ",في حال حدوث أي انقطاع أثناء المعاملة ، هل اعتذر موظف الاستقبال؟,Q42.1,المهارات الشخصية لموظف الاستقبال
Receptionist knowledge,Q43,Did the receptionist understand your requirement?,"If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,show if Q34 is 1,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ",هل فهــم موظف الاستقبال احتياجاتك / طلبك؟,Q43,معرفة موظف الاستقبال
Receptionist knowledge,Q44,Was the receptionist able to answer your inquiries and to explain the requirements of service delivery?,"If no, detail what happened in the comment box","1.Yes (1)
2.No (0)
3.The receptionist directed me to the employee (non-scoring)",Enquiry/ Transaction,show if Q34 is 1,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) 
3. موظف الاستقبال حولني للموظف المعني",هل كــان موظف الاستقبال قادراً على الإجابة على استفساراتك وشرح متطلبات تقديم الخدمة؟,Q44,معرفة موظف الاستقبال
Receptionist knowledge,Q46,Did the employee direct you to the proper person to handle your enquiry?,"If no, detail what happened in the comment box","1.Yes (1)
2.No (0)
3.The receptionist gave me all the infomration (non-scoring)",Enquiry/ Transaction,show if Q34 is 1,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) 
3. لا ينطبق - قام وظف الاستقبال بتزويدي بجميع المعلومات",هل وجهك موظف الاستقبال إلى الشخص المناسب للتعامل مع استفسارك؟,Q46,معرفة موظف الاستقبال
Customer service employee soft Skills,Q51,Was the customer service employee available?,"If no, detail what happened in the comment box","1.Yes (1)
2.No (0)
3.I did not need to be served by a Customer Service Employee.",Enquiry/ Transaction,,new question,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) 
3. لم أحتج إلى خدمة موظف خدمة العملاء.",هل كان موظف الخدمة متواجدا,Q51,المهارات الشخصية لموظف خدمة المتعاملين
Customer service employee soft Skills,Q52,Was the customer service employee presentable and with good appearance?,"If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,show if Q51 is yes,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ",هل كان مظهر موظف خدمة المتعاملين جيد؟,Q52,المهارات الشخصية لموظف خدمة المتعاملين
Customer service employee soft Skills,Q53,Were you able to identify the employee’s name in any way?,"If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,show if Q51 is yes,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) "," هل استطعت التعرف على اسم موظف خدمة المتعاملين باي طريقة كانت؟ (حمل الموظف لبطاقة فيها اسمه، لوحة باسم الموظف على المكتب، سألته عن اسمه) ",Q53,المهارات الشخصية لموظف خدمة المتعاملين
Customer service employee soft Skills,Q54,Was the customer service employee polite and courteous?,"If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,show if Q51 is yes,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ",هل كان الموظف مؤدب ولبق؟,Q54,المهارات الشخصية لموظف خدمة المتعاملين
Customer service employee soft Skills,Q55,Was the customer service employee able to communicate in the language you spoke (English or Arabic only)?,"If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,show if Q51 is yes,question rephrased,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ",هل كان الموظف قادر على التواصل معك باللغة التي تكلمت بها (اللغة العربية أو الانجليزية فقط)؟,Q55,المهارات الشخصية لموظف خدمة المتعاملين
Customer service employee soft Skills,Q56,"Was the customer service employee fully attentive when dealing with you? i.e. they did not chat with others, used the phone, or did things that are not related to your query, did not leave his/her desk","If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,show if Q51 is yes,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ",هل كان موظف خدمة المتعاملين مهتم عند التعامل معك؟ أي لم يتحدث مع الآخرين، استخدم الهاتف، أو غادر  مكتبه لسبب لا علاقة له بمعاملتك، أو قام بأشياء بأمور ليس لها علاقة باستفسارك,Q56,المهارات الشخصية لموظف خدمة المتعاملين
Customer service employee soft Skills,Q59,"In case there was any interruption during your transaction, did the customer service employee apologize and excuse himself/herself?","If no, detail what happened in the comment box","1.Yes (1)
2.No (0)                        ",Enquiry/ Transaction,show if Q51 is yes,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ",في حال حدوث أي انقطاع أثناء المعاملة ، هل اعتذر موظف خدمة المتعاملين؟,Q59,المهارات الشخصية لموظف خدمة المتعاملين
Customer service employee knowledge,Q60,"Did the customer service employee ask you relevant questions to understand your enquiry/ service requirement better, if needed?","If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,show if Q51 is yes,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ",هل طرح عليك موظف خدمة المتعاملين أسئلة ملائمة لفهم استفسارك أو الخدمة المطلوبة بشكل أفضل، إذا لزم الأمر؟,Q60,معرفة موظف خدمة المتعاملين
